Rank,Sponsor/Collaborators,Title,Status,Study Results,Conditions,Interventions,Funded Bys,Study Type,Locations,URL
11,University of Florida|Bristol-Myers Squibb,"Phase II Study of 5-FU, Oxaliplatin Plus Dasatinib in Metastatic Pancreatic Adenocarcinoma","Active, not recruiting",Has Results,Pancreatic Cancer Metastatic,Drug: Dasatinib|Drug: mFOLFOX6,Other|Industry,Interventional,"UF Health Cancer Center, Gainesville, Florida, United States",https://ClinicalTrials.gov/show/NCT01652976
12,Sidney Kimmel Cancer Center at Thomas Jefferson University|Pfizer|Thomas Jefferson University,A Clinical Research Study to Determine Whether PD 0332991 May Be Effective in Treating Patients With Liver Cancer,"Active, not recruiting",Has Results,Advanced Hepatocellular Carcinoma|HCC|Liver Cancer,Drug: PD-0332991,Other|Industry,Interventional,"Thomas Jefferson University, Philadelphia, Pennsylvania, United States",https://ClinicalTrials.gov/show/NCT01356628
13,"University of Washington|Janssen Scientific Affairs, LLC|National Cancer Institute (NCI)","A Phase II Neoadjuvant Study of Apalutamide, Abiraterone Acetate, Prednisone, Degarelix and Indomethacin in Men With Localized Prostate Cancer Pre-prostatectomy","Active, not recruiting",Has Results,Stage III Prostate Adenocarcinoma AJCC v7|Stage III Prostate Cancer AJCC v7|Stage IV Prostate Adenocarcinoma AJCC v7|Stage IV Prostate Cancer AJCC v7,Drug: Abiraterone Acetate|Drug: Apalutamide|Drug: Degarelix|Drug: Indomethacin|Other: Laboratory Biomarker Analysis|Drug: Prednisone,Other|Industry|NIH,Interventional,"Fred Hutch/University of Washington Cancer Consortium, Seattle, Washington, United States",https://ClinicalTrials.gov/show/NCT02849990
14,"Andrew Sikora|Advaxis, Inc.|Baylor College of Medicine","ADXS 11-001 Vaccination Prior to Robotic Surgery, HPV-Positive Oropharyngeal Cancer","Active, not recruiting",Has Results,Head and Neck Cancer|Squamous Cell Carcinoma of the Head and Neck|HPV Positive Oropharyngeal Squamous Cell Carcinoma,Biological: ADXS11-001 (ADXS-HPV),Other|Industry,Interventional,"Icahn School of Medicine at Mount Sinai, New York, New York, United States|Baylor College of Medicine, Houston, Texas, United States",https://ClinicalTrials.gov/show/NCT02002182
15,Northwestern University|Bristol-Myers Squibb|National Cancer Institute (NCI),Nivolumab and Metformin Hydrochloride in Treating Patients With Stage III-IV Non-small Cell Lung Cancer That Cannot Be Removed by Surgery,"Active, not recruiting",Has Results,Recurrent Non-Small Cell Lung Carcinoma|Stage III Non-Small Cell Lung Cancer|Stage IIIA Non-Small Cell Lung Cancer|Stage IIIB Non-Small Cell Lung Cancer|Stage IV Non-Small Cell Lung Cancer,Other: Laboratory Biomarker Analysis|Drug: Metformin Hydrochloride|Biological: Nivolumab,Other|Industry|NIH,Interventional,"Northwestern University, Chicago, Illinois, United States|Northwestern University- Lake Forest Hospital, Lake Forest, Illinois, United States",https://ClinicalTrials.gov/show/NCT03048500
16,"Memorial Sloan Kettering Cancer Center|Astellas Pharma US, Inc.",Fungal Prophylaxis With Isavuconazole for Patients Undergoing Allogeneic Hematopoietic Stem Cell Transplant (HCT),"Active, not recruiting",Has Results,Hematologic Malignancy|Myeloproliferative Disorder,Drug: Isavuconazole,Other|Industry,Interventional,"Memorial Sloan Kettering Cancer Center, New York, New York, United States",https://ClinicalTrials.gov/show/NCT03149055
17,Northwestern University|Merck Sharp & Dohme Corp.|National Cancer Institute (NCI),Pembrolizumab and Capecitabine in Treating Patients With Locally Advanced or Metastatic Triple Negative or Hormone-Refractory Breast Cancer That Cannot Be Removed by Surgery,"Active, not recruiting",Has Results,Estrogen Receptor Negative|HER2/Neu Negative|Progesterone Receptor Negative|Recurrent Breast Carcinoma|Stage III Breast Cancer|Stage IIIA Breast Cancer|Stage IIIB Breast Cancer|Stage IIIC Breast Cancer|Stage IV Breast Cancer|Triple-Negative Breast Carcinoma,Drug: Capecitabine|Other: Laboratory Biomarker Analysis|Biological: Pembrolizumab,Other|Industry|NIH,Interventional,"Northwestern University, Chicago, Illinois, United States|Northwestern Lake Forest Hospital, Lake Forest, Illinois, United States",https://ClinicalTrials.gov/show/NCT03044730
18,"Dana-Farber Cancer Institute|Medivation, Inc.",Enzalutamide/Leuprolide +/- Abiraterone/Pred in Prostate,"Active, not recruiting",Has Results,Prostate Adenocarcinoma|Prostate Cancer|High Risk Prostate Cancer,Drug: Enzalutamide|Drug: Abiraterone Acetate|Drug: Prednisone|Drug: Leuprolide Acetate,Other|Industry,Interventional,"Johns Hopkins University, Baltimore, Maryland, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States|University of Washington, Seattle, Washington, United States",https://ClinicalTrials.gov/show/NCT02268175
19,UNC Lineberger Comprehensive Cancer Center|GlaxoSmithKline,Multimodality Risk Adapted Tx Including Induction Chemo for SCCHN Amenable to Transoral Surgery,"Active, not recruiting",Has Results,Head and Neck Cancer|Squamous Cell Carcinoma of the Head and Neck,Drug: Carboplatin|Drug: Paclitaxel|Drug: Lapatinib|Drug: Cisplatin|Radiation: Ipsilateral Radiation|Radiation: Bilateral Radiation|Procedure: Transoral Surgery,Other|Industry,Interventional,"The University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, United States",https://ClinicalTrials.gov/show/NCT01612351
20,Georgetown University|Merck Sharp & Dohme Corp.|Incyte Corporation,Pembrolizumab and Epacadostat in Patients With Thymic Carcinoma,"Active, not recruiting",Has Results,Thymic Carcinoma|Thymus Neoplasms|Thymus Cancer,Drug: Pembrolizumab|Drug: Epacadostat,Other|Industry,Interventional,"Georgetown Lombardi Comprehensive Cancer Center, Washington, District of Columbia, United States",https://ClinicalTrials.gov/show/NCT02364076
21,UNC Lineberger Comprehensive Cancer Center|Celgene Corporation,Induction Chemotherapy for Locally Advanced Squamous Cell Carcinoma of the Head and Neck,"Active, not recruiting",Has Results,Head and Neck Cancer,Drug: Cetuximab|Drug: Nab-paclitaxel|Drug: Carboplatin,Other|Industry,Interventional,"University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, United States|Vanderbilt University, Nashville, Tennessee, United States|University of Washington, Seattle, Washington, United States",https://ClinicalTrials.gov/show/NCT01412229
22,"Washington University School of Medicine|BioLineRx, Ltd.",Safety and Efficacy of BL-8040 for the Mobilization of Donor Hematopoietic Stem Cells and Allogeneic Transplantation in Patients With Advanced Hematological Malignancies,"Active, not recruiting",Has Results,Acute Myelogenous Leukemia|Acute Lymphoblastic Leukemia|Chronic Myelogenous Leukemia|Non-Hodgkin's Lymphoma|Non-Hodgkin Lymphoma|Hodgkin Disease|Hodgkins Disease|Hodgkin's Disease|Multiple Myeloma|Myelodysplastic Syndrome|Myeloproliferative Neoplasm,Drug: BL-8040|Procedure: Leukapheresis|Procedure: Hematopoietic cell transplant,Other|Industry,Interventional,"Northside Hospital Cancer Institute, Atlanta, Georgia, United States|Washington University School of Medicine, Saint Louis, Missouri, United States|Ohio State University, Columbus, Ohio, United States",https://ClinicalTrials.gov/show/NCT02639559
23,Eli Lilly and Company,A Study of Ramucirumab (IMC-1121B) and Paclitaxel in Participants With Solid Tumors,"Active, not recruiting",Has Results,Malignant Solid Tumor,Biological: ramucirumab (IMC-1121B)|Drug: paclitaxel,Industry,Interventional,"ImClone Investigational Site, Ann Arbor, Michigan, United States|ImClone Investigational Site, Detroit, Michigan, United States|ImClone Investigational Site, New Brunswick, New Jersey, United States|ImClone Investigational Site, Cleveland, Ohio, United States|ImClone Investigational Site, Philadelphia, Pennsylvania, United States|ImClone Investigational Site, Seattle, Washington, United States",https://ClinicalTrials.gov/show/NCT01515306
24,"Daiichi Sankyo, Inc.|AstraZeneca|Daiichi Sankyo Co., Ltd.",A Study of DS-8201a in Metastatic Breast Cancer Previously Treated With Trastuzumab Emtansine (T-DM1),"Active, not recruiting",Has Results,Breast Cancer,Drug: DS-8201a,Industry,Interventional,"Alaska Urological Institute dba Alaska Clinical Research Center, Anchorage, Alaska, United States|Arizona Oncology Associates, Tucson, Arizona, United States|The Regents of the University of California, Los Angeles, California, United States|Sharp Clinical Oncology Research, San Diego, California, United States|University of California San Francisco, San Francisco, California, United States|Sansum Clinic, Santa Barbara, California, United States|Innovative Clinical Research Institute, LLC, Whittier, California, United States|Sylvester Comprehensive Cancer Center - Deerfield Beach, Boca Raton, Florida, United States|Specialist Global Research, Hialeah, Florida, United States|Miami Cancer Institute at Baptist Health, Inc., Miami, Florida, United States|Piedmont Cancer Institute, Atlanta, Georgia, United States|Straub Medical Center, Honolulu, Hawaii, United States|University of Hawaii, Honolulu, Hawaii, United States|Norton Healthcare, Louisville, Kentucky, United States|University of Louisville Research Foundation, Louisville, Kentucky, United States|Ochsner Clinic Foundation, New Orleans, Louisiana, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|Dana Farber Cancer Institute, Boston, Massachusetts, United States|Henry Ford Hospital, Detroit, Michigan, United States|Washington University School of Medicine, Saint Louis, Missouri, United States|North Shore Hematology Oncology Associates PC DBA NY Cancer and Blood Specialists, East Setauket, New York, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|Aultman Hospital Cancer Center, Canton, Ohio, United States|University of Cincinnati Medical Center, Cincinnati, Ohio, United States|Allegheny General Hospital, Pittsburgh, Pennsylvania, United States|UPMC Cancer Center, Pittsburgh, Pennsylvania, United States|St Francis Hospital, Greenville, South Carolina, United States|Accurate Clinical Research, Baytown, Texas, United States|Texas Oncology, P.A., Dallas, Texas, United States|Texas Oncology - Memorial City, Houston, Texas, United States|MD Anderson Cancer Center, Houston, Texas, United States|The Methodist Hospital Research Institute, Houston, Texas, United States|Texas Oncology, P.A. - Longview, Tyler, Texas, United States|The University of Texas Health Science Center at Tyler, Tyler, Texas, United States|Virginia Cancer Specialists, PC, Fairfax, Virginia, United States|Providence Regional Medical Center - Everett, Everett, Washington, United States|Imeldaziekenhuis, Bonheiden, Belgium|Grand Hôpital de Charleroi, Charleroi, Belgium|UZ Leuven, Leuven, Belgium|CHU Sart Tilman, Liège, Belgium|AZ Sint-Maarten, Mechelen, Belgium|University of Calgary, Calgary, Alberta, Canada|Institut Sainte Catherine, Avignon, France|CHU Besançon - Hôpital Jean Minjoz, Besançon, France|Centre Georges François Leclerc, Dijon, France|CHU Bordeaux - Hôpital Saint André, Gironde, France|CH de la Rochelle - Hopital St Louis, La Rochelle, France|Clinique Victor Hugo - Centre Jean Bernard, Le Mans, France|Hôpital Nord - CHU Marseille, Marseille, France|Institut Régional du Cancer de Montpellier, Montpellier, France|Centre Catherine de Sienne, Nantes, France|Hôpital Saint-Louis - Paris, Paris, France|Centre Hospitalier Lyon Sud, Pierre-Bénite, France|CRLCC Eugene Marquis, Rennes, France|Hôpital d'Instruction des Armees Begin, Saint-Mandé, France|Centre Paul Strauss, Strasbourg, France|Institut Gustave Roussy, Villejuif, France|Ospedale San Raffaele, Milano, Italy|Fondazione IRCCS Istituto Nazionale dei Tumori, Milano, Italy|IEO Istituto Europeo di Oncologia, Milano, Italy|Azienda Socio Sanitaria Territoriale di Monza (Presidio San Gerardo), Monza, Italy|Ospedale degli Infermi, Rimini, Italy|Azienda Ospedaliero Universitaria Ospedali Riuniti di Ancona, Torrette, Italy|NHO Shikoku Cancer Center, Matsuyama, Ehime-Ken, Japan|Toranomon Hospital, Minato-Ku, Tokyo-To, Japan|Aichi Cancer Center Hospital, Aichi, Japan|National Cancer Center Hospital East, Chiba, Japan|NHO Kyushu Cancer Center, Fukuoka, Japan|Hakuaikai Sagara Hospital, Kagoshima, Japan|Kanagawa Cancer Center, Kanagawa, Japan|Kindai University Hospital, Osaka, Japan|National Cancer Center Hospital, Tokyo, Japan|St. Luke's International Hospital, Tokyo, Japan|Cancer Institute Hospital of JFCR, Tokyo, Japan|Kyungpook National University Chilgok Hospital, Daegu, Korea, Republic of|National Cancer Center, Goyang-si, Korea, Republic of|Seoul National University Bundang Hospital, Seongnam-si, Korea, Republic of|Korea University Anam Hospital, Seoul, Korea, Republic of|Seoul National University Hospital, Seoul, Korea, Republic of|Severance Hospital, Yonsei University, Seoul, Korea, Republic of|Asan Medical Center, Seoul, Korea, Republic of|Samsung Medical Center, Seoul, Korea, Republic of|Hospital Infanta Cristina, Badajoz, Spain|Hospital Universitari Quiron Dexeus, Barcelona, Spain|Hospital Universitari Vall d'Hebron, Barcelona, Spain|ICO l´Hospitalet - Hospital Duran i Reynals, Barcelona, Spain|Hospital Quiron Barcelona, Barcelona, Spain|MD Anderson Cancer Centre, Madrid, Spain|Hospital Universitario Ramon y Cajal, Madrid, Spain|Hospital Universitario La Paz, Madrid, Spain|Hospital Clinico Universitario Virgen de la Victoria, Málaga, Spain|Hospital Universitario Virgen Macarena, Sevilla, Spain|Instituto Valenciano de Oncologia IVO, Valencia, Spain|Derriford Hospital, Plymouth, Devon, United Kingdom|Queen Mary University of London, London, Greater London, United Kingdom|University College London Hospitals, London, Greater London, United Kingdom|Western General Hospital, Edinburgh, Lothian Region, United Kingdom|Nottingham University Hospitals City Campus, Nottingham, Nottinghamshire, United Kingdom|Royal Surrey County Hospital, Guildford, Surrey, United Kingdom",https://ClinicalTrials.gov/show/NCT03248492
25,"Pfizer|Astellas Pharma Inc|Medivation LLC, a wholly owned subsidiary of Pfizer Inc.","Safety and Efficacy Study of Enzalutamide in Patients With Advanced, Androgen Receptor-Positive, Triple Negative Breast Cancer","Active, not recruiting",Has Results,"Advanced, Androgen Receptor Positive Triple Negative Breast Cancer",Drug: Enzalutamide,Industry,Interventional,"Rocky Mountain Cancer Centers, Colorado Springs, Colorado, United States|Rocky Mountain Cancer Centers, Lakewood, Colorado, United States|Rocky Mountain Cancer Centers, Lone Tree, Colorado, United States|Florida Cancer Specialists, Altamonte Springs, Florida, United States|Florida Cancer Specialists, Bonita Springs, Florida, United States|Florida Cancer Specialists, Bradenton, Florida, United States|Florida Cancer Specialists, Brandon, Florida, United States|Florida Cancer Specialists, Cape Coral, Florida, United States|Florida Cancer Specialists, Clearwater, Florida, United States|Florida Cancer Specialists, Fort Myers, Florida, United States|Florida Cancer Specialists, Fort Myers, Florida, United States|Florida Cancer Specialists, Fort Myers, Florida, United States|Florida Cancer Specialists, Gainesville, Florida, United States|Florida Cancer Specialists, Hudson, Florida, United States|Florida Cancer Specialists, Largo, Florida, United States|Florida Cancer Specialists, Naples, Florida, United States|Florida Cancer Specialists, New Port Richey, Florida, United States|Florida Cancer Specialists, Orange City, Florida, United States|Florida Cancer Specialists, Orlando, Florida, United States|Florida Cancer Specialists, Port Charlotte, Florida, United States|Florida Cancer Specialists, Saint Petersburg, Florida, United States|Florida Cancer Specialists, Sarasota, Florida, United States|Florida Cancer Specialists, Sarasota, Florida, United States|Florida Cancer Specialists, Spring Hill, Florida, United States|Florida Cancer Specialists, Tampa, Florida, United States|Florida Cancer Specialists, Tavares, Florida, United States|Florida Cancer Specialists, Venice, Florida, United States|Florida Cancer Specialists, Venice, Florida, United States|Northwestern Medical Faculty Foundation(NMFF)/ Women's Cancer Center Shared Laboratories, Chicago, Illinois, United States|Northwestern Medical Faculty Foundation, Chicago, Illinois, United States|Northwestern Memorial Hospital, Chicago, Illinois, United States|The University of Chicago Medical Center, Investigational Drug Service Department of Pharmacy, Chicago, Illinois, United States|The University of Chicago, Chicago, Illinois, United States|University of Chicago Comprehensive Cancer Center at Silver Cross Hospital, New Lenox, Illinois, United States|Indiana University Health Hospital, Indianapolis, Indiana, United States|Indiana University Health Melvin and Bren Simon Cancer Center, Indianapolis, Indiana, United States|Investigational Drug Services, Indianapolis, Indiana, United States|Sidney and Lois Eskenazi Hospital, Indianapolis, Indiana, United States|Springmill Medical Clinic, Indianapolis, Indiana, United States|Oncology Hematology Care, Inc., Crestview Hills, Kentucky, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States|The West Clinic, PC, Corinth, Mississippi, United States|The West Clinic, PC, Southaven, Mississippi, United States|Barnes-Jewish Hospital, Saint Louis, Missouri, United States|Washington University Infusion Center Pharmacy, Saint Louis, Missouri, United States|Washington University School of Medicine, Saint Louis, Missouri, United States|Siteman Cancer Center-South County, Saint Louis, Missouri, United States|Siteman Cancer Center-West County, Saint Louis, Missouri, United States|Siteman Cancer Center, Saint Peters, Missouri, United States|Hematology Oncology Associates of Northern NJ, Morristown, New Jersey, United States|Memorial Sloan Kettering - I Chemotherapy Practice/Investigational Drug Service, New York, New York, United States|Memorial Sloan-Kettering Cancer Center, New York, New York, United States|Cone Health Cancer Center, Greensboro, North Carolina, United States|Wesley Long Community Hospital, Greensboro, North Carolina, United States|Oncology Hematology Care, Inc., Cincinnati, Ohio, United States|Oncology Hematology Care, Inc., Cincinnati, Ohio, United States|Oncology Hematology Care, Inc., Cincinnati, Ohio, United States|Oncology Hematology Care, Inc., Cincinnati, Ohio, United States|Oncology Hematology Care, Inc., Cincinnati, Ohio, United States|Oncology Hematology Care, Inc., Fairfield, Ohio, United States|Greenville Health System, Greenville, South Carolina, United States|Greenville Health System, Seneca, South Carolina, United States|Greenville Health System, Spartanburg, South Carolina, United States|Tennessee Oncology, PLLC, Dickson, Tennessee, United States|Tennessee Oncology, PLLC, Franklin, Tennessee, United States|Tennessee Oncology, PLLC, Gallatin, Tennessee, United States|Tennessee Oncology, PLLC, Hermitage, Tennessee, United States|Tennessee Oncology, PLLC, Lebanon, Tennessee, United States|The West Clinic, PC, Memphis, Tennessee, United States|The West Clinic, PC, Memphis, Tennessee, United States|Tennessee Oncology, PLLC, Murfreesboro, Tennessee, United States|Tennessee Oncology, PLLC, Nashville, Tennessee, United States|The Sarah Cannon Research Institute, Nashville, Tennessee, United States|Vanderbilt Breast Center at One Hundred Oaks, Nashville, Tennessee, United States|Vanderbilt Health Pharmacy One Hundred Oaks, Nashville, Tennessee, United States|Tennessee Oncology, PLLC, Nashville, Tennessee, United States|Tennessee Oncology, PLLC, Nashville, Tennessee, United States|Tennessee Oncology, PLLC, Nashville, Tennessee, United States|Henry-Joyce Cancer Clinic, Nashville, Tennessee, United States|Tennessee Oncology, PLLC, Smyrna, Tennessee, United States|Texas Oncology-Baylor Charles A. Sammons Cancer Center, Dallas, Texas, United States|Texas Oncology - Longview Cancer Center, Longview, Texas, United States|Texas Oncology-Tyler, Tyler, Texas, United States|Virginia Cancer Institute, Mechanicsville, Virginia, United States|Virginia Cancer Institute, Midlothian, Virginia, United States|Virginia Oncology Associates, Newport News, Virginia, United States|Virginia Oncology Associates, Norfolk, Virginia, United States|Virginia Cancer Institute, Richmond, Virginia, United States|Virginia Cancer Institute, Richmond, Virginia, United States|Virginia Oncology Associates, Virginia Beach, Virginia, United States|Institut Jules Bordet, Brussels, Belgium|British Columbia Cancer Agency - Vancouver Centre, Vancouver, British Columbia, Canada|Sunnybrook Research Institute, Toronto, Ontario, Canada|McGill University Health Centre-Cedars Cancer Centre, Montreal, Quebec, Canada|Pharmacy Department, Dublin 4, Ireland|3rd Floor,Oncology Link office, Dublin, Ireland|Department of Radiology, Dublin, Ireland|Institute for Cancer Research, Dublin, Ireland|Mater Private Hospital, Dublin, Ireland|Pharmacy Department, Dublin, Ireland|Radiology Department, Dublin, Ireland|U.O Farmaceutica, Nuovo Ospedale di Prato Palazzina dei servizi, Prato, Italy|Hospital Universitario HM Monteprincipe, Boadilla del Monte, Madrid, Spain|Grupo Hospitalario Quiron - Hospital Quiron Barcelona, Barcelona, Spain|Hospital Universitari Vall d'Hebron, Barcelona, Spain|Hospital Universitario Ramon Y Cajal, Madrid, Spain|Hospital Universitario 12 Octubre, Madrid, Spain|Centro Intergral Oncologico Clara Campal, Madrid, Spain|Hospital de Madrid Norte-Sanchinarro., Madrid, Spain|Clinical Investigation and Research Unit, Brighton, England, United Kingdom|Pharmacy Department, Brighton, England, United Kingdom|Radiation Safety Service, Medical Physics Department, Brighton, England, United Kingdom|Histopathology Department, Nottingham, England, United Kingdom|Nottingham University Hospital, Nottingham, England, United Kingdom|Pharmacy Department, Nottingham, England, United Kingdom|Radiology Department, Nottingham, England, United Kingdom|Royal Cornwall Hospitals NHS trust, Truro, Cornwall, England, United Kingdom|Department of Radiology, Truro, England, United Kingdom|Pharmacy Department, Truro, England, United Kingdom",https://ClinicalTrials.gov/show/NCT01889238
